seed,scenario,rmse,overshoot,recovery_time,final_window_error
0,Load disturbance,9.03,3.81,0.5,6.48
0,Input voltage fluctuation,5.07,3.48,0.0,1.89
0,Parameter variation,1.69,0.85,0.0,1.69
1,Load disturbance,9.78,3.88,0.5,5.82
1,Input voltage fluctuation,5.53,3.26,0.0,2.19
1,Parameter variation,2.08,1.04,0.0,2.08
2,Load disturbance,9.08,3.96,0.5,5.42
2,Input voltage fluctuation,3.95,4.3,0.0,1.57
2,Parameter variation,1.5,0.75,0.0,1.5
3,Load disturbance,8.71,4.19,0.0,8.26
3,Input voltage fluctuation,5.3,3.85,0.0,2.32
3,Parameter variation,3.04,1.52,0.0,3.04
4,Load disturbance,6.89,3.04,0.0,6.08
4,Input voltage fluctuation,4.67,3.87,0.0,1.29
4,Parameter variation,0.07,0.0,0.0,0.07
5,Load disturbance,9.41,4.77,0.0,9.4
5,Input voltage fluctuation,5.22,4.69,0.0,1.32
5,Parameter variation,0.56,0.0,0.0,0.56
